date,home,away
2026-09-04,Stuttgart,FC Koln
2026-09-05,Werder Bremen,RB Leipzig
2026-09-05,Hoffenheim,Dortmund
2026-09-05,M'gladbach,Elversberg
2026-09-05,Paderborn,Freiburg
2026-09-05,Leverkusen,Union Berlin
2026-09-05,Schalke 04,Bayern Munich
2026-09-06,Hamburg,Mainz
2026-09-06,Ein Frankfurt,Augsburg
2026-09-11,Union Berlin,Schalke 04
2026-09-12,Dortmund,Paderborn
2026-09-12,Augsburg,Leverkusen
2026-09-12,Mainz,Ein Frankfurt
2026-09-12,Freiburg,M'gladbach
2026-09-12,Hoffenheim,Stuttgart
2026-09-12,FC Koln,Werder Bremen
2026-09-13,RB Leipzig,Hamburg
2026-09-13,Elversberg,Bayern Munich
