date,home,away
2026-08-07,Cambuur,Excelsior
2026-08-08,Nijmegen,Telstar
2026-08-08,Go Ahead Eagles,Willem II
2026-08-08,PSV Eindhoven,For Sittard
2026-08-08,AZ Alkmaar,Den Haag
2026-08-09,Sparta Rotterdam,Feyenoord
2026-08-09,Groningen,Utrecht
2026-08-09,Zwolle,Ajax
2026-08-09,Heerenveen,Twente
2026-08-14,Telstar,Sparta Rotterdam
2026-08-15,Willem II,Nijmegen
2026-08-15,Utrecht,AZ Alkmaar
2026-08-15,Excelsior,PSV Eindhoven
2026-08-15,For Sittard,Cambuur
2026-08-16,Den Haag,Groningen
2026-08-16,Twente,Zwolle
2026-08-16,Feyenoord,Go Ahead Eagles
2026-08-16,Ajax,Heerenveen
