date,home,away
2026-08-21,Betis,Sociedad
2026-08-22,Ath Bilbao,Sevilla
2026-08-22,Valencia,Celta
2026-08-22,Espanol,Real Madrid
2026-08-23,Ath Madrid,Villarreal
2026-08-23,Getafe,Santander
2026-08-23,Elche,Barcelona
2026-08-24,Osasuna,Levante
2026-08-28,Santander,Elche
2026-08-28,Alaves,Villarreal
2026-08-29,Levante,Betis
2026-08-29,Sociedad,Espanol
2026-08-29,Sevilla,Ath Madrid
2026-08-30,Real Madrid,Malaga
2026-08-30,La Coruna,Valencia
2026-08-30,Celta,Ath Bilbao
2026-08-31,Osasuna,Getafe
2026-08-31,Barcelona,Vallecano
2026-09-03,Sociedad,Celta
2026-09-04,Betis,Real Madrid
2026-09-05,Ath Bilbao,Ath Madrid
2026-09-05,Vallecano,Santander
2026-09-05,Villarreal,La Coruna
2026-09-06,Valencia,Barcelona
2026-09-06,Alaves,Osasuna
2026-09-06,Malaga,Levante
2026-09-06,Espanol,Sevilla
2026-09-11,Sevilla,Valencia
2026-09-12,Santander,Alaves
2026-09-12,Osasuna,Espanol
2026-09-12,Ath Bilbao,Elche
2026-09-12,Real Madrid,Vallecano
2026-09-13,Celta,Malaga
2026-09-13,Levante,Barcelona
2026-09-13,Getafe,La Coruna
2026-09-13,Sociedad,Ath Madrid
2026-09-14,Villarreal,Betis
2026-09-15,Vallecano,Espanol
2026-09-15,Alaves,Valencia
2026-09-15,Elche,Real Madrid
2026-09-16,Ath Madrid,Osasuna
2026-09-16,La Coruna,Sevilla
2026-09-16,Barcelona,Santander
2026-09-16,Levante,Ath Bilbao
2026-09-17,Betis,Getafe
2026-09-17,Malaga,Villarreal
2026-09-18,Espanol,Elche
2026-09-19,Osasuna,Vallecano
2026-09-19,Ath Bilbao,Alaves
2026-09-19,Celta,Santander
2026-09-19,Sevilla,Barcelona
2026-09-20,Getafe,Malaga
2026-09-20,Ath Madrid,Real Madrid
2026-09-20,La Coruna,Betis
2026-09-20,Villarreal,Levante
2026-09-20,Valencia,Sociedad
