# fixtures_ligamx.csv — Jornada(s) por venir de la Liga MX
# =========================================================
# Lo llenas TÚ una vez por semana (~5 min): los partidos de la
# siguiente jornada. Los RESULTADOS llegan solos de football-data.
#
# REGLAS:
#  - Nombres EXACTOS como football-data (sin acentos):
#    Club America, Guadalajara Chivas, UNAM Pumas, Tigres UANL,
#    Cruz Azul, Club Leon, Club Tijuana, Atl. San Luis, Santos Laguna,
#    Monterrey, Toluca, Pachuca, Puebla, Queretaro, Atlas, Necaxa,
#    Atlante, Juarez, ...
#    (para los demás: tail -300 al MEX.csv descargado y copia la grafía)
#  - date en formato YYYY-MM-DD (fecha LOCAL CDMX del partido; el
#    emparejador tolera ±1 día contra la fecha UK de football-data)
#  - NO borres filas de jornadas pasadas hasta que su resultado ya
#    esté archivado en el historial (el pipeline las ignora solo).
#
# Jornada 1 real — Apertura 2026:
date,home,away
2026-07-16,Necaxa,Atlante
2026-07-16,Club Tijuana,Tigres UANL
2026-07-17,Atl. San Luis,Cruz Azul
2026-07-17,Club Leon,Atlas
2026-07-17,Juarez,Puebla
2026-07-18,UNAM Pumas,Pachuca
2026-07-18,Guadalajara Chivas,Toluca
2026-07-18,Monterrey,Santos Laguna
2026-07-18,Queretaro,Club America
2026-07-21,Cruz Azul,Puebla
2026-07-21,Toluca,UNAM Pumas
2026-07-24,Atlante,Club America
2026-07-24,Club Tijuana,Club Leon
2026-07-25,Guadalajara Chivas,Juarez
2026-07-25,Tigres UANL,Atl. San Luis
2026-07-25,Santos Laguna,Atlas
2026-07-26,Necaxa,Monterrey
2026-07-26,Pachuca,Queretaro
2026-07-31,Puebla,Guadalajara Chivas
2026-07-31,Juarez,UNAM Pumas
2026-07-31,Atl. San Luis,Club Tijuana
2026-08-01,Queretaro,Tigres UANL
2026-08-01,Atlas,Monterrey
2026-08-01,Club Leon,Pachuca
2026-08-01,Cruz Azul,Atlante
2026-08-02,Club America,Santos Laguna
2026-08-02,Toluca,Necaxa
2026-08-15,Atlante,Toluca
2026-08-15,Monterrey,Juarez
2026-08-15,Atlas,Tigres UANL
2026-08-16,UNAM Pumas,Queretaro
2026-08-16,Santos Laguna,Guadalajara Chivas
2026-08-16,Club America,Atl. San Luis
2026-08-16,Club Tijuana,Cruz Azul
2026-08-17,Necaxa,Club Leon
2026-08-17,Pachuca,Puebla
2026-08-21,Tigres UANL,Atlante
2026-08-21,Club Leon,Monterrey
2026-08-21,Juarez,Club America
2026-08-21,Queretaro,Toluca
2026-08-22,Guadalajara Chivas,Club Tijuana
2026-08-22,Puebla,Santos Laguna
2026-08-22,Cruz Azul,Atlas
2026-08-23,Atl. San Luis,Pachuca
2026-08-23,UNAM Pumas,Necaxa
