date,home,away
2026-08-28,Lille,Paris SG
2026-08-29,Strasbourg,Lens
2026-08-29,Lyon,Le Havre
2026-08-29,Lorient,Troyes
2026-08-29,Brest,Toulouse
2026-08-29,Auxerre,Angers
2026-08-30,Paris FC,Nice
2026-08-30,Rennes,Le Mans
2026-08-30,Monaco,Marseille
2026-09-03,Toulouse,Lille
2026-09-04,Lyon,Auxerre
2026-09-04,Paris SG,Monaco
2026-09-05,Lens,Lorient
2026-09-05,Le Havre,Brest
2026-09-05,Nice,Le Mans
2026-09-06,Troyes,Strasbourg
2026-09-06,Angers,Rennes
2026-09-06,Marseille,Paris FC
2026-09-11,Rennes,Marseille
2026-09-12,Strasbourg,Monaco
2026-09-12,Auxerre,Nice
2026-09-12,Le Havre,Angers
2026-09-12,Lorient,Toulouse
2026-09-12,Paris FC,Lyon
2026-09-13,Lille,Troyes
2026-09-13,Le Mans,Lens
2026-09-13,Brest,Paris SG
