date,home,away
2026-08-07,Estoril,Famalicao
2026-08-08,Maritimo,Casa Pia
2026-08-08,Guimaraes,Arouca
2026-08-08,Estrela,Sp Lisbon
2026-08-09,Porto,Alverca
2026-08-09,Gil Vicente,Rio Ave
2026-08-09,Benfica,Academico Viseu
2026-08-09,Moreirense,Sp Braga
2026-08-10,Santa Clara,Nacional
2026-08-14,Sp Lisbon,Guimaraes
2026-08-15,Alverca,Estrela
2026-08-15,Academico Viseu,Santa Clara
2026-08-15,Rio Ave,Porto
2026-08-16,Nacional,Estoril
2026-08-16,Arouca,Moreirense
2026-08-16,Famalicao,Maritimo
2026-08-16,Sp Braga,Gil Vicente
2026-08-17,Casa Pia,Benfica
2026-08-22,Maritimo,Academico Viseu
2026-08-22,Estoril,Rio Ave
2026-08-22,Sp Lisbon,Alverca
2026-08-23,Guimaraes,Nacional
2026-08-23,Santa Clara,Famalicao
2026-08-23,Porto,Arouca
2026-08-24,Gil Vicente,Casa Pia
2026-09-09,Moreirense,Benfica
2026-09-10,Estrela,Sp Braga
2026-08-28,Rio Ave,Sp Lisbon
2026-08-29,Arouca,Maritimo
2026-08-29,Alverca,Santa Clara
2026-08-29,Academico Viseu,Porto
2026-08-30,Nacional,Estrela
2026-08-30,Casa Pia,Moreirense
2026-08-30,Famalicao,Gil Vicente
2026-08-30,Sp Braga,Guimaraes
2026-08-30,Benfica,Estoril
2026-09-04,Porto,Moreirense
2026-09-05,Estrela,Famalicao
2026-09-05,Alverca,Sp Braga
2026-09-05,Maritimo,Benfica
2026-09-05,Sp Lisbon,Nacional
2026-09-06,Santa Clara,Rio Ave
2026-09-06,Guimaraes,Casa Pia
2026-09-06,Gil Vicente,Academico Viseu
2026-09-07,Estoril,Arouca
