date,home,away
2026-08-30,Milan,Venezia
2026-08-30,Atalanta,Bologna
2026-08-30,Cagliari,Inter
2026-08-30,Fiorentina,Frosinone
2026-08-30,Juventus,Parma
2026-08-30,Lazio,Genoa
2026-08-30,Lecce,Roma
2026-08-30,Monza,Udinese
2026-08-30,Napoli,Como
2026-08-30,Sassuolo,Torino
2026-09-04,Genoa,Como
2026-09-05,Fiorentina,Torino
2026-09-05,Inter,Napoli
2026-09-05,Roma,Atalanta
2026-09-06,Parma,Monza
2026-09-06,Frosinone,Venezia
2026-09-06,Bologna,Sassuolo
2026-09-06,Juventus,Milan
2026-09-07,Cagliari,Lecce
2026-09-07,Udinese,Lazio
