liga,football_data,openfootball,score,estado
laliga,Alaves,,0.2,SIN_MATCH
laliga,Almeria,,0.267,SIN_MATCH
laliga,Ath Bilbao,athletic club,0.75,REVISAR
laliga,Ath Madrid,atlético madrid,1.0,AUTO
laliga,Barcelona,barcelona,1.0,AUTO
laliga,Betis,real betis,0.917,AUTO
laliga,Cadiz,,0.16,SIN_MATCH
laliga,Celta,,0.229,SIN_MATCH
laliga,Elche,,0.178,SIN_MATCH
laliga,Espanol,,0.188,SIN_MATCH
laliga,Getafe,,0.15,SIN_MATCH
laliga,Girona,girona,1.0,AUTO
laliga,Granada,granada,1.0,AUTO
laliga,La Coruna,,0.2,SIN_MATCH
laliga,Las Palmas,,0.167,SIN_MATCH
laliga,Leganes,,0.185,SIN_MATCH
laliga,Levante,,0.171,SIN_MATCH
laliga,Malaga,málaga,1.0,AUTO
laliga,Mallorca,,0.229,SIN_MATCH
laliga,Osasuna,,0.185,SIN_MATCH
laliga,Oviedo,,0.168,SIN_MATCH
laliga,Real Madrid,real madrid,1.0,AUTO
laliga,Santander,,0.2,SIN_MATCH
laliga,Sevilla,sevilla,1.0,AUTO
laliga,Sociedad,real sociedad,0.955,AUTO
laliga,Valencia,valencia,1.0,AUTO
laliga,Valladolid,,0.2,SIN_MATCH
laliga,Vallecano,rayo vallecano,0.963,AUTO
laliga,Villarreal,villarreal,1.0,AUTO
premier,Arsenal,arsenal,1.0,AUTO
premier,Aston Villa,aston villa,1.0,AUTO
premier,Bournemouth,,0.143,SIN_MATCH
premier,Brentford,,0.15,SIN_MATCH
premier,Brighton,brighton & hove albion,0.779,REVISAR
premier,Burnley,,0.171,SIN_MATCH
premier,Chelsea,chelsea,1.0,AUTO
premier,Coventry,,0.145,SIN_MATCH
premier,Crystal Palace,crystal palace,1.0,AUTO
premier,Everton,,0.2,SIN_MATCH
premier,Fulham,,0.139,SIN_MATCH
premier,Hull,,0.145,SIN_MATCH
premier,Ipswich,,0.114,SIN_MATCH
premier,Leeds,,0.168,SIN_MATCH
premier,Leicester,leicester city,0.963,AUTO
premier,Liverpool,liverpool,1.0,AUTO
premier,Luton,,0.15,SIN_MATCH
premier,Man City,manchester city,1.0,AUTO
premier,Man United,manchester united,1.0,AUTO
premier,Newcastle,newcastle united,0.938,AUTO
premier,Norwich,,0.114,SIN_MATCH
premier,Nott'm Forest,,0.178,SIN_MATCH
premier,Sheffield United,manchester united,0.792,AUTO
premier,Southampton,,0.171,SIN_MATCH
premier,Sunderland,,0.152,SIN_MATCH
premier,Tottenham,tottenham hotspur,0.927,AUTO
premier,Watford,,0.139,SIN_MATCH
premier,West Ham,west ham united,1.0,AUTO
premier,Wolves,,0.123,SIN_MATCH
seriea,Atalanta,atalanta,1.0,AUTO
seriea,Bologna,bologna,1.0,AUTO
seriea,Cagliari,,0.15,SIN_MATCH
seriea,Como,,0.2,SIN_MATCH
seriea,Cremonese,,0.141,SIN_MATCH
seriea,Empoli,,0.2,SIN_MATCH
seriea,Fiorentina,acf fiorentina,0.983,AUTO
seriea,Frosinone,,0.171,SIN_MATCH
seriea,Genoa,,0.2,SIN_MATCH
seriea,Inter,inter,1.0,AUTO
seriea,Juventus,juventus,1.0,AUTO
seriea,Lazio,ss lazio,0.958,AUTO
seriea,Lecce,,0.107,SIN_MATCH
seriea,Milan,milan,1.0,AUTO
seriea,Monza,,0.2,SIN_MATCH
seriea,Napoli,ssc napoli,0.95,AUTO
seriea,Parma,,0.267,SIN_MATCH
seriea,Pisa,,0.178,SIN_MATCH
seriea,Roma,roma,1.0,AUTO
seriea,Salernitana,,0.211,SIN_MATCH
seriea,Sampdoria,,0.174,SIN_MATCH
seriea,Sassuolo,,0.16,SIN_MATCH
seriea,Spezia,,0.15,SIN_MATCH
seriea,Torino,,0.16,SIN_MATCH
seriea,Udinese,,0.2,SIN_MATCH
seriea,Venezia,,0.16,SIN_MATCH
seriea,Verona,,0.24,SIN_MATCH
bundesliga,Augsburg,,0.235,SIN_MATCH
bundesliga,Bayern Munich,bayern münchen,0.906,AUTO
bundesliga,Bielefeld,,0.16,SIN_MATCH
bundesliga,Bochum,,0.139,SIN_MATCH
bundesliga,Darmstadt,,0.133,SIN_MATCH
bundesliga,Dortmund,borussia dortmund,0.906,AUTO
