date,home_raw,away_raw,home_team,away_team,home_score,away_score,pais_home,pais_away,temporada,tournament,neutral
2011-09-13,Chelsea FC,Bayer Leverkusen,chelsea,bayer leverkusen,2,0,ENG,GER,2011-12,UEFA,False
2011-09-13,Viktoria Plzeň,BATE Borisov,viktoria plzeň,bate borisov,1,1,CZE,BLR,2011-12,UEFA,False
2011-09-13,FC Barcelona,AC Milan,barcelona,milan,2,2,ESP,ITA,2011-12,UEFA,False
2011-09-13,FC Porto,Shakhtar Donetsk,porto,shakhtar donetsk,2,1,POR,UKR,2011-12,UEFA,False
2011-09-13,APOEL Nikosia,Zenit St. Petersburg,apoel nikosia,zenit st. petersburg,2,1,CYP,RUS,2011-12,UEFA,False
2011-09-13,Olympiakos Piraeus,Olympique Marseille,olympiakos piraeus,olympique marseille,0,1,GRE,FRA,2011-12,UEFA,False
2011-09-13,Borussia Dortmund,Arsenal FC,borussia dortmund,arsenal,1,1,GER,ENG,2011-12,UEFA,False
2011-09-13,KRC Genk,Valencia CF,krc genk,valencia,0,0,BEL,ESP,2011-12,UEFA,False
2011-09-14,Dinamo Zagreb,Real Madrid,dinamo zagreb,real madrid,0,1,CRO,ESP,2011-12,UEFA,False
2011-09-14,AFC Ajax,Olympique Lyonnais,ajax,olympique lyonnais,0,0,NED,FRA,2011-12,UEFA,False
2011-09-14,SL Benfica,Manchester United,sl benfica,manchester united,1,1,POR,ENG,2011-12,UEFA,False
2011-09-14,FC Basel 1893,Oţelul Galaţi,basel 1893,oţelul galaţi,2,1,SUI,ROU,2011-12,UEFA,False
2011-09-14,Inter,Trabzonspor,inter,trabzonspor,0,1,ITA,TUR,2011-12,UEFA,False
2011-09-14,Manchester City,SSC Napoli,manchester city,ssc napoli,1,1,ENG,ITA,2011-12,UEFA,False
2011-09-14,Lille OSC,CSKA Moskva,lille osc,cska moskva,2,2,FRA,RUS,2011-12,UEFA,False
2011-09-14,Villarreal CF,Bayern München,villarreal,bayern münchen,0,2,ESP,GER,2011-12,UEFA,False
